CFS_HEADER,Cash Flow Statement,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SUBTITLE,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SEC_CFO,Cash from Operations (CFO),Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total
CFS_NET,Net Change in Cash,-25000,997493.75,-21005.0140058519,-15589.4963020259,935899.239692122,-19059.8058470599,-1514.85331740882,16543.1428619811,32365.3841037261,28333.8678012384,-40200.0033016392,2562146.01417423,133829.676383414,118472.718629071,2774248.40588508,18122.8890011418,96048.985621484,304326.794917631,408526.247492133,827024.917032389,231960.996813045,367918.027604495,407637.778522961,899944.436351519,1907461.23929202,6472967.66970285
CFS_BOQ_CASH,Beginning Cash Position,0,-25000,972493.75,951488.73599415,951488.73599415,935899.239692121,916839.43384506,915324.580527665,931867.723389635,931867.723389635,964233.107493356,924033.104191724,3486179.11836597,3620008.79474937,3620008.79474937,3738481.51337845,3756604.40237957,3852653.38800109,4156980.18291871,4156980.18291871,4565506.43041085,4797467.42722386,5165385.4548284,5573023.2333513,5573023.2333513,5573023.2333513
CFS_EOQ_CASH,Ending Cash Position,-25000,972493.75,951488.735994148,935899.239692124,935899.239692124,916839.433845061,915324.580527652,931867.723389646,964233.107493361,964233.107493361,924033.104191717,3486179.11836595,3620008.79474938,3738481.51337844,3738481.51337844,3756604.4023796,3852653.38800105,4156980.18291872,4565506.43041084,4565506.43041084,4797467.42722389,5165385.45482835,5573023.23335136,6472967.66970282,6472967.66970282,6472967.66970282
CFS_CHECK,Cash Reconciliation,0,0,-1.74622982740402E-09,2.91038304567337E-09,1.16415321826935E-09,0,-1.31549313664436E-08,1.04773789644241E-08,5.58793544769287E-09,2.91038304567337E-09,-7.56699591875076E-09,-1.49011611938477E-08,1.2572854757309E-08,-1.21071934700012E-08,-2.20024958252907E-08,2.70083546638489E-08,-3.53902578353882E-08,1.2572854757309E-08,0,4.19095158576965E-09,3.53902578353882E-08,-5.21540641784668E-08,5.96046447753906E-08,0,4.2840838432312E-08,2.91038304567337E-08
CFS_SPACER5,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_SEC_SUPP,Supporting Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,
CFS_E_RSV,Gross Loss Reserve (echo),0,0,917028.600500833,2141330.61770751,2141330.61770751,3588042.16248889,5751061.45060647,8781274.95068474,12165240.9009033,12165240.9009033,15125381.1899421,19368371.3326145,25464680.9094678,33082579.6200343,33082579.6200343,41232682.9873412,48537499.3768326,57713632.1184344,70066456.3242169,70066456.3242169,85262602.6365809,102254913.24822,118789117.956394,139267939.426908,139267939.426908,139267939.426908
CFS_E_UPR,Unearned Premium (echo),0,0,4290000,3910000,3910000,19211750,24690000,27933250,27615000,27615000,27081750,51925712.5,61831375,67510612.5,67510612.5,65733115,63518375.5,103824006.225,124092050.97,124092050.97,139067031.789,143686094.6468,145075455.45116,216507938.697642,216507938.697642,216507938.697642
CFS_E_AR,Premium Receivable (echo),0,0,4102500,3297500,3297500,12111750,9665000,11308250,11115000,11115000,10444250,25043212.5,21834875,24129812.5,24129812.5,23026155,22095023.5,46480983.825,43774174.09,43774174.09,48915579.533,49516851.9396,48647364.20252,90624229.199274,90624229.199274,90624229.199274
CFS_E_RI,RI Recoverable (echo),0,0,898463.470461588,2113730.24796781,2113730.24796781,3560636.97616134,5719528.00619588,8724123.7659899,12107802.0784938,12107802.0784938,15120095.7415954,19355280.6465816,25391771.9750622,32883882.8848282,32883882.8848282,40698741.8501947,47948504.1025009,56875542.8472362,68714447.3673703,68714447.3673703,82533911.2768074,98164640.2100364,113596996.038632,132430027.476732,132430027.476732,132430027.476732
CFS_E_CUPR,Prepaid Reinsurance QS+XOL (echo),0,0,4131000,3830500,3830500,19084550,24562800,27599350,27487800,27487800,27272250,50295931.25,60024502.5,65775651.25,65775651.25,66231871.25,64928989.25,99622072.35,119181037.97,119181037.97,133857637.3321,141069427.27912,143201927.378044,200014805.793628,200014805.793628,200014805.793628
CFS_E_AP,Accounts Payable (echo),0,0,3943500,3218000,3218000,11905050,9458300,10894850,10908300,10908300,9978125,23466181.25,20883877.5,22978851.25,22978851.25,21537870,20566096,41462008.7,40449869.84,40449869.84,42630083.9547,44275862.49564,42987898.907268,76515720.8980966,76515720.8980966,76515720.8980966
CFS_E_TAX,Tax Payable (echo),0,0,0,0,0,0,0,14226.4745605859,83736.768973264,83736.768973264,0,36905.409617721,315116.694671735,520938.2359551,520938.2359551,568405.501447789,624609.526105511,824680.799794203,1189657.57343761,1189657.57343761,1402276.04541588,1787052.9335352,2008035.70175683,2468145.23999408,2468145.23999408,2468145.23999408
CFS_E_INV,Invested Assets (echo),0,18477381.25,18078285.9838888,17782085.5541503,17782085.5541503,17419949.2430561,17391167.0300256,17705486.7444031,18320429.0423738,18320429.0423738,17556628.9796428,66237403.2489534,68780167.1002381,71031148.7541906,71031148.7541906,71375483.6452118,73200414.3720207,78982623.4754554,86744622.1778061,86744622.1778061,91151881.1172532,98142323.6417397,105887441.433675,122986385.724354,122986385.724354,122986385.724354
CFS_E_CASH,Cash Position (echo),-25000,972493.75,951488.73599415,935899.239692121,935899.239692121,916839.43384506,915324.580527665,931867.723389635,964233.107493356,964233.107493356,924033.104191724,3486179.11836597,3620008.79474937,3738481.51337845,3738481.51337845,3756604.40237957,3852653.38800109,4156980.18291871,4565506.43041085,4565506.43041085,4797467.42722386,5165385.4548284,5573023.2333513,6472967.66970283,6472967.66970283,6472967.66970283
