PD_HEADER,UW Program Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_BASIS,Per-Program Quarterly Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SPACER0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_TOTAL,All Programs - Total,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total,Tail
PD_NCOMM_9,Net Acquisition Cost,0,0,0,0,0,-6250,-37500,-112500,-262500,-418750,-476250,-709000,-950800,-1180960,-3317010,-1417152,-1700582.4,-2040698.88,-2448838.656,-7607271.936,-2057024.47104,-2468429.365248,-2962115.2382976,-3554538.28595712,-11042107.3605427,-22385139.2965427,-8630867.79039744
PD_GFFE_9,Less: Fronting Fee (Earned),0,0,0,0,0,-1562.5,-9375,-28125,-65625,-104687.5,-119062.5,-177250,-237700,-295240,-829252.5,-354288,-425145.6,-510174.72,-612209.664,-1901817.984,-734651.5968,-881581.91616,-1057898.299392,-1269477.9592704,-3943609.7716224,-6779367.7556224,-3082452.7822848
PD_NACQ_9,Total Acquisition Cost,0,0,0,0,0,-7812.5,-46875,-140625,-328125,-523437.5,-595312.5,-886250,-1188500,-1476200,-4146262.5,-1771440,-2125728,-2550873.6,-3061048.32,-9509089.92,-2791676.06784,-3350011.281408,-4020013.5376896,-4824016.24522752,-14985717.1321651,-29164507.0521651,-11713320.5726822
PD_CATXOL_9,CAT XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_OTHXOL_9,Other XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_RIEXP_9,Total XOL RI Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_GPAID_9,Gross Paid Losses,0,0,0,0,0,3745.01760232959,29070.1526355203,105807.312411094,272569.121981716,411191.60463066,560693.433208822,932465.219480512,1354741.00454459,1798720.68796691,4646620.34520084,2246389.44085775,2740570.21237703,3313354.36433763,3990132.99491107,12290447.0124835,4796453.52616899,5760723.6757254,6915908.629505,8300972.66868689,25774058.5000863,43122317.4624013,11112624.5825779
PD_GCRSV_9,Change in Gross Case Reserve,0,0,0,0,0,1195.31049049105,7892.40242868264,24632.5376614858,56327.6184288379,90047.8690094974,100971.01838308,141397.666637203,172543.014850358,192018.124669686,606929.824540328,203393.705951068,222218.295986575,251737.847216701,292347.847086564,969697.696240908,344563.236699145,409477.684486743,488816.560506206,584940.66259665,1827798.14428874,0,-6988947.06815895
PD_GCINC_9,Gross Case Incurred,0,0,0,0,0,4940.32809282063,36962.5550642029,130439.85007258,328896.740410554,501239.473640157,661664.451591902,1073862.88611771,1527284.01939495,1990738.8126366,5253550.16974117,2449783.14680881,2962788.50836361,3565092.21155433,4282480.84199764,13260144.7087244,5141016.76286813,6170201.36021215,7404725.1900112,8885913.33128354,27601856.644375,46616790.9964807,7618151.04849846
PD_GIBNR_9,Change in Gross IBNR,0,0,0,0,0,7559.67190717937,38037.4449357971,94560.1499274204,196103.259589446,336260.526359843,290835.548408098,344137.113882286,374315.980605049,371181.187363402,1380469.83025883,384520.853191184,438376.291636393,516305.548445668,615196.470002357,1954399.1632756,736196.011531867,882453.969067857,1058461.2051248,1269910.34287966,3947021.52860418,0,-15236302.0969969
