PD_HEADER,UW Program Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_BASIS,Per-Program Quarterly Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SPACER0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_TOTAL,All Programs - Total,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total,Tail
PD_GEP_TOTAL,Gross Earned Premium,0,0,3915000,6975000,10890000,8921750,13851750,19373250,22548250,64695000,21421750,25242462.5,33764087.5,42580387.5,123008687.5,47829807.5,46404786.5,52656336.925,67280303.435,214171234.36,82856178.247,94414641.0214,95905367.60068,109815975.152066,382992162.021146,795757083.881146,216507938.697642
PD_CEP_TOTAL,Ceded Earned Premium,0,0,-3756000,-6736500,-10492500,-8556050,-13438350,-18753150,-21928150,-62675700,-20199925,-23899306.25,-32029808.75,-40197178.75,-116326218.75,-42687020,-42412574,-48208434.3,-61318274.06,-194626302.36,-70808568.5473,-81264935.04426,-83768297.715612,-96143563.3806094,-331985364.687781,-716106085.797781,-186211059.446628
PD_NEP_TOTAL,Net Earned Premium,0,0,159000,238500,397500,365700,413400,620100,620100,2019300,1221825,1343156.25,1734278.75,2383208.75,6682468.75,5142787.5,3992212.5,4447902.625,5962029.375,19544932,12047609.6997,13149705.97714,12137069.885068,13672411.7714566,51006797.3333646,79650998.0833646,30296879.2510142
PD_GECOMM_TOTAL,Gross Commission (Earned),0,0,2037750,3549750,5587500,4315600,6545075,9115425,10322925,30299025,9388200,10896686.25,14508303.75,18449318.75,53242508.75,20457240.75,19290229.65,21778636.6425,27883716.7335,89409823.776,34599164.0427,38971813.51374,38694617.003988,44097841.2704106,156363435.830839,334902293.356839,84871312.6051122
PD_CECOMM_TOTAL,Less: Ceding Commission,0,0,-1945475,-3420400,-5365875,-4151805,-6455785,-9080240,-10577115,-30264945,-9663402.5,-11457296.625,-15269251.375,-19248234.875,-55638185.375,-20384349,-20287513,-23067627.05,-29145230.83,-92884719.88,-33336276.52365,-38230459.77213,-39643810.357806,-45531642.4153047,-156742189.068891,-340895914.323891,-90437559.6983139
PD_NCOMM_TOTAL,Net Acquisition Cost,0,0,92275,129350,221625,163795,89290,35185,-254190,34080,-275202.5,-560610.375,-760947.625,-798916.125,-2395676.625,72891.75,-997283.349999998,-1288990.4075,-1261514.0965,-3474896.104,1262887.51905,741353.741610005,-949193.353817999,-1433801.1448941,-378753.238052092,-5993620.96705209,-5566247.0932017
PD_GFFE_TOTAL,Less: Fronting Fee (Earned),0,0,-195750,-348750,-544500,-446087.5,-692587.5,-968662.5,-1127412.5,-3234750,-1071087.5,-1262123.125,-1688204.375,-2129019.375,-6150434.375,-2391490.375,-2320239.325,-2632816.84625,-3364015.17175,-10708561.718,-4142808.91235,-4720732.05107,-4795268.380034,-5490798.7576033,-19149608.1010573,-39787854.1940573,-10825396.9348821
PD_NACQ_TOTAL,Total Acquisition Cost,0,0,-103475,-219400,-322875,-282292.5,-603297.5,-933477.5,-1381602.5,-3200670,-1346290,-1822733.5,-2449152,-2927935.5,-8546111,-2318598.625,-3317522.675,-3921807.25375,-4625529.26825,-14183457.822,-2879921.3933,-3979378.30945999,-5744461.733852,-6924599.9024974,-19528361.3391094,-45781475.1611094,-16391644.0280838
PD_CATXOL_TOTAL,CAT XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,9375,9375,9375,9375,37500,22500,22500,22500,22500,90000,75000,75000,75000,75000,300000,427500,0
PD_OTHXOL_TOTAL,Other XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_RIEXP_TOTAL,Total XOL RI Expense,0,0,0,0,0,0,0,0,0,0,9375,9375,9375,9375,37500,22500,22500,22500,22500,90000,75000,75000,75000,75000,300000,427500,0
PD_GPAID_TOTAL,Gross Paid Losses,0,0,239721.399499167,840572.982793322,1080294.38229249,1390663.45521862,2495530.71188242,3547736.49992173,4515234.04978142,11949164.7168042,4877659.71096126,5191334.85732759,6717705.42314665,8431586.28943352,25218286.280869,10067841.6326931,10832760.6105086,11516567.9083982,14099489.8242175,46516659.9758174,17121962.373636,20201904.4615613,22185889.5296652,24137037.5273941,83646793.8922567,168411199.24804,139267939.426908
PD_GCRSV_TOTAL,Change in Gross Case Reserve,0,0,358239.408029906,478779.186773982,837018.594803888,601128.678597,793110.868304624,864303.74822873,798055.113985656,3056598.40911601,294018.949233701,778069.70314381,1411888.64088717,1723222.98629972,4207200.2795644,1738614.2551216,1118692.40884268,1883564.19368528,2898170.94959252,7639041.80724208,3399763.60011721,3532665.38791506,2830918.0553785,4132527.17687301,13895874.2202838,29635733.3110102,-59271466.6220203
PD_GCINC_TOTAL,Gross Case Incurred,0,0,597960.807529074,1319352.1695673,1917312.97709638,1991792.13381562,3288641.58018705,4412040.24815047,5313289.16376708,15005763.1259202,5171678.66019496,5969404.5604714,8129594.06403382,10154809.2757332,29425486.5604334,11806455.8878147,11951453.0193512,13400132.1020835,16997660.77381,54155701.7830595,20521725.9737532,23734569.8494764,25016807.5850437,28269564.7042671,97542668.1125405,198046932.55905,109632206.115898
PD_GIBNR_TOTAL,Change in Gross IBNR,0,0,558789.192470926,745522.830432696,1304312.02290362,845582.866184383,1369908.41981295,2165909.75184954,2585910.83623292,6967311.8740798,2666121.33980504,3464920.4395286,4684420.93596618,5894675.72426676,16710138.4395666,6411489.11218526,6186123.98064876,7292568.5479165,9454653.25618997,29344834.8969405,11796382.7122468,13459645.2237236,13703286.6527962,16346294.2936409,55305608.8824075,109632206.115898,-219264412.231796
PD_GULT_TOTAL,Gross Ultimate Loss,0,0,1156750,2064875,3221625,2837375,4658550,6577950,7899200,21973075,7837800,9434325,12814015,16049485,46135625,18217945,18137577,20692700.65,26452314.03,83500536.68,32318108.686,37194215.0732,38720094.23784,44615858.997908,152848276.994948,307679138.674948,0
PD_CULT_TOTAL,Ceded Ultimate Loss,0,0,-1124950,-2017175,-3142125,-2764235,-4575870,-6453930,-7775180,-21569215,-7501215,-9071560.5,-12315279.5,-15379290.5,-44267345.5,-16643782,-16929660,-19363252.8,-24589960.68,-77526655.48,-28033688.6674,-32449684.41588,-34210929.964056,-39504324.5556172,-134198627.602953,-280703968.582953,0
PD_NULT_TOTAL,Net Ultimate Loss,0,0,31800,47700,79500,73140,82680,124020,124020,403860,336585,362764.5,498735.5,670194.5,1868279.5,1574163,1207917,1329447.85,1862353.35,5973881.2,4284420.0186,4744530.65732,4509164.273784,5111534.4422908,18649649.3919948,26975170.0919948,0
PD_GUWRES_TOTAL,Gross UW Result,0,0,720500,1360375,2080875,1768775,2648125,3679875,4326125,12422900,4195750,4911451.25,6441768.75,8081583.75,23630553.75,9154621.75,8976979.85,10184999.6325,12944272.6715,41260873.904,15938905.5183,18248612.43446,18490656.358852,21102274.8837474,73780449.1953594,153175651.849359,131636626.09253
PD_NUWRES_TOTAL,Net UW Result,0,0,230675,410200,640875,574852.5,934017.5,1429557.5,1877682.5,4816110,2222155,2793750.25,3675320.25,4631574.75,13322800.25,5864723.125,6079318.175,7017762.02875,8702705.29325,27664508.622,10568111.0744,12309553.62928,13297367.345136,15410477.2316632,51585509.2804792,98029803.1524792,46688523.279098
PD_GLR_TOTAL,Gross Loss Ratio,0,0,0.295466155810983,0.296039426523298,0.295833333333333,0.31802897413624,0.336314906058801,0.339537764701328,0.350324304546916,0.339641007805858,0.365880471950237,0.373748203052693,0.379516105684775,0.376922004291295,0.375059891603185,0.380891037456088,0.390855736401244,0.392976455606345,0.39316579562629,0.389877459171964,0.39005068022396,0.393945416418726,0.403732295767411,0.406278402902008,0.399089830424542,0.386649575488922,0
PD_NLR_TOTAL,Net Loss Ratio,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.275477257381376,0.270083618342989,0.287575166333555,0.28121518939539,0.279579234844907,0.306091394987641,0.302568312683756,0.298893200253006,0.312369032901654,0.305648604968285,0.355624071944055,0.360808877823435,0.371520005774337,0.373857555472544,0.365630668204994,0.338667069353757,0
PD_CR_TOTAL,Combined Ratio,0,0,-0.450786163522013,-0.719916142557652,-0.612264150943396,-0.571923707957342,-1.25935534591195,-1.30536606998871,-2.0280317690695,-1.38503937007874,-0.818717901499806,-1.07998901840348,-1.11922117479673,-0.94341966476919,-0.993694358840062,-0.140378272483551,-0.522794233773878,-0.577768809349778,-0.459688429202011,-0.41543130577277,0.12280432900618,6.38913409410493E-02,-9.55994709641982E-02,-0.127122082720994,-1.13457809031278E-02,-0.230741679468711,-0.541034074575026
PD_RETMGN_TOTAL,Retained Margin,0,0,5.89208173690932E-02,5.88100358422939E-02,5.88498622589532E-02,6.44327065878331E-02,6.74295666612522E-02,7.37902778315461E-02,8.32739791336356E-02,0.074443310920473,0.103733588525681,0.11067661287008,0.108852941753572,0.108772489447166,0.108307799398315,0.122616490250353,0.131006273997188,0.133274785877066,0.129349970926599,0.129170047997663,0.127547653029515,0.130377592882972,0.138650918898534,0.140330013099859,0.134690770192919,0.123190613238852,0.215643470442437
PD_SP_TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_1,Refund Protection,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_GEP_1,Gross Earned Premium,0,0,1590000,2385000,3975000,1828500,2067000,3100500,3100500,10096500,2067000,2377050,2687100,4030650,11161800,4030650,2687100,3090165,3493230,13301145,5239845,5239845,3493230,4017214.5,17990134.5,56524579.5,2270599.5
PD_CEP_1,Ceded Earned Premium,0,0,-1431000,-2146500,-3577500,-1462800,-1653600,-2480400,-2480400,-8077200,-1446900,-1663935,-1880970,-2821455,-7813260,-2418390,-1612260,-1854099,-2095938,-7980687,-2619922.5,-2619922.5,-1746615,-2008607.25,-8995067.25,-36443714.25,-1135299.75
PD_NEP_1,Net Earned Premium,0,0,159000,238500,397500,365700,413400,620100,620100,2019300,620100,713115,806130,1209195,3348540,1612260,1074840,1236066,1397292,5320458,2619922.5,2619922.5,1746615,2008607.25,8995067.25,20080865.25,1135299.75
PD_GECOMM_1,Gross Commission (Earned),0,0,954000,1431000,2385000,1097100,1240200,1860300,1860300,6057900,1240200,1426230,1612260,2418390,6697080,2418390,1612260,1854099,2095938,7980687,3143907,3143907,2095938,2410328.7,10794080.7,33914747.7,1362359.7
PD_CECOMM_1,Less: Ceding Commission,0,0,-858600,-1287900,-2146500,-877680,-992160,-1488240,-1488240,-4846320,-868140,-998361,-1128582,-1692873,-4687956,-1451034,-967356,-1112459.4,-1257562.8,-4788412.2,-1571953.5,-1571953.5,-1047969,-1205164.35,-5397040.35,-21866228.55,-681179.85
PD_NCOMM_1,Net Acquisition Cost,0,0,95399.9999999999,143100,238500,219420,248040,372060,372060,1211580,372060,427869,483678,725517,2009124,967356,644904,741639.6,838375.2,3192274.8,1571953.5,1571953.5,1047969,1205164.35,5397040.35,12048519.15,681179.85
PD_GFFE_1,Less: Fronting Fee (Earned),0,0,-79500,-119250,-198750,-91425,-103350,-155025,-155025,-504825,-103350,-118852.5,-134355,-201532.5,-558090,-201532.5,-134355,-154508.25,-174661.5,-665057.25,-261992.25,-261992.25,-174661.5,-200860.725,-899506.725,-2826228.975,-113529.975
PD_NACQ_1,Total Acquisition Cost,0,0,15899.9999999999,23850,39749.9999999999,127995,144690,217035,217035,706755,268710,309016.5,349323,523984.5,1451034,765823.5,510549,587131.35,663713.7,2527217.55,1309961.25,1309961.25,873307.5,1004303.625,4497533.625,9222290.175,567649.875
PD_CATXOL_1,CAT XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_OTHXOL_1,Other XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_RIEXP_1,Total XOL RI Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_GPAID_1,Gross Paid Losses,0,0,132348.699607556,386647.60299546,518996.302603015,366675.917060713,392758.709584798,492011.298578768,618661.811426492,1870107.73665077,490337.582222219,463444.800094374,510694.543247459,640632.363323319,2105109.28888737,804966.463019149,637840.857952496,602693.941719565,664016.238056175,2709517.50074739,832881.235113291,1046487.28740839,829209.28945208,783510.633956181,3492088.44592995,10695819.2748185,609096.625181513
PD_GCRSV_1,Change in Gross Case Reserve,0,0,162930.033059329,96507.9885616934,259438.021621022,-1784.13226569758,19861.8022329499,113319.498186874,12823.7342353477,144220.902389474,-73555.9598573935,7536.20456476882,25710.4767450411,146297.669289874,105988.390742291,15964.7463305267,-96024.7488782778,9581.36433732323,33310.2879340742,-37168.3502763538,190127.807283862,20723.2847461803,-124848.347655587,12447.2639177665,98450.0082922215,0,-1141857.94553731
PD_GCINC_1,Gross Case Incurred,0,0,295278.732666885,483155.591557153,778434.324224038,364891.784795015,412620.511817747,605330.796765642,631485.54566184,2014328.63904024,416781.622364826,470981.004659143,536405.0199925,786930.032613194,2211097.67962966,820931.209349676,541816.109074218,612275.306056888,697326.52599025,2672349.15047103,1023009.04239715,1067210.57215457,704360.941796493,795957.897873947,3590538.45422217,11266748.2475871,38167.6524128579
PD_GIBNR_1,Change in Gross IBNR,0,0,22721.2673331152,-6155.59155715298,16565.6757759622,808.215204984648,779.488182252506,14769.203234358,-11385.5456618397,4971.36095975549,-3381.62236482557,4428.99534085719,1014.98000750039,19199.9673868064,21262.3203703384,-14801.209349676,-4396.1090742182,5757.69394311216,1319.47400975041,-12120.1504710317,24959.9576028474,-19241.5721545741,-5714.94179649279,7485.00212605298,7488.44577783346,0,-76335.3048257157
PD_GULT_1,Gross Ultimate Loss,0,0,318000,477000,795000,365700,413400,620100,620100,2019300,413400,475410,537420,806130,2232360,806130,537420,618033,698646,2660229,1047969,1047969,698646,803442.9,3598026.9,11304915.9,0
PD_CULT_1,Ceded Ultimate Loss,0,0,-286200,-429300,-715500,-292560,-330720,-496080,-496080,-1615440,-289380,-332787,-376194,-564291,-1562652,-483678,-322452,-370819.8,-419187.6,-1596137.4,-523984.5,-523984.5,-349323,-401721.45,-1799013.45,-7288742.85,0
PD_NULT_1,Net Ultimate Loss,0,0,31800,47700,79500,73140,82680,124020,124020,403860,124020,142623,161226,241839,669708,322452,214968,247213.2,279458.4,1064091.6,523984.5,523984.5,349323,401721.45,1799013.45,4016173.05,0
PD_GUWRES_1,Gross UW Result,0,0,318000,477000,795000,365700,413400,620100,620100,2019300,413400,475410,537420,806130,2232360,806130,537420,618033,698646,2660229,1047969,1047969,698646,803442.899999999,3598026.9,11304915.9,908239.8
PD_NUWRES_1,Net UW Result,0,0,111300,166950,278250,164565,186030,279045,279045,908685,227370,261475.5,295581,443371.5,1227798,523984.5,349323,401721.45,454119.9,1729148.85,785976.75,785976.75,523984.5,602582.175,2698520.175,6842402.025,567649.875
PD_GLR_1,Gross Loss Ratio,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0
PD_NLR_1,Net Loss Ratio,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0
PD_CR_1,Combined Ratio,0,0,0.299999999999999,0.3,0.3,0.55,0.55,0.55,0.55,0.55,0.633333333333333,0.633333333333334,0.633333333333334,0.633333333333333,0.633333333333334,0.675,0.675,0.675,0.675,0.675,0.7,0.7,0.7,0.7,0.7,0.659257609678946,0.5
PD_RETMGN_1,Retained Margin,0,0,7.00000000000001E-02,0.07,0.07,0.09,0.09,8.99999999999999E-02,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.13,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,0.121051798801971,0.25
PD_SP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_2,Accident and Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_GEP_2,Gross Earned Premium,0,0,1037500,1452500,2490000,643250,684750,1597750,1597750,4523500,892250,675412.5,718987.5,1677637.5,3964287.5,1677637.5,936862.5,709183.125,754936.875,4078620,1761519.375,1761519.375,983705.625,744642.28125,5251386.65625,20307794.15625,264227.90625
PD_CEP_2,Ceded Earned Premium,0,0,-1037500,-1452500,-2490000,-643250,-684750,-1597750,-1597750,-4523500,-803025,-607871.25,-647088.75,-1509873.75,-3567858.75,-1342110,-749490,-567346.5,-603949.5,-3262896,-1233063.5625,-1233063.5625,-688593.9375,-521249.596875,-3675970.659375,-17520225.409375,-184959.534375
PD_NEP_2,Net Earned Premium,0,0,0,0,0,0,0,0,0,0,89224.9999999999,67541.25,71898.75,167763.75,396428.75,335527.5,187372.5,141836.625,150987.375,815724,528455.8125,528455.8125,295111.6875,223392.684375,1575415.996875,2787568.746875,79268.371875
PD_GECOMM_2,Gross Commission (Earned),0,0,518750,726250,1245000,321625,342375,798875,798875,2261750,446125,337706.25,359493.75,838818.75,1982143.75,838818.75,468431.25,354591.5625,377468.4375,2039310,880759.6875,880759.6875,491852.8125,372321.140625,2625693.328125,10153897.078125,132113.953125
PD_CECOMM_2,Less: Ceding Commission,0,0,-518750,-726250,-1245000,-321625,-342375,-798875,-798875,-2261750,-401512.5,-303935.625,-323544.375,-754936.875,-1783929.375,-671055,-374745,-283673.25,-301974.75,-1631448,-616531.78125,-616531.78125,-344296.96875,-260624.7984375,-1837985.3296875,-8760112.7046875,-92479.7671875
PD_NCOMM_2,Net Acquisition Cost,0,0,0,0,0,0,0,0,0,0,44612.4999999999,33770.625,35949.375,83881.875,198214.375,167763.75,93686.25,70918.3125,75493.6875,407862,264227.90625,264227.90625,147555.84375,111696.3421875,787707.9984375,1393784.3734375,39634.1859375
PD_GFFE_2,Less: Fronting Fee (Earned),0,0,-51875,-72625,-124500,-32162.5,-34237.5,-79887.5,-79887.5,-226175,-44612.5,-33770.625,-35949.375,-83881.875,-198214.375,-83881.875,-46843.125,-35459.15625,-37746.84375,-203931,-88075.96875,-88075.96875,-49185.28125,-37232.1140625,-262569.3328125,-1015389.7078125,-13211.3953125
PD_NACQ_2,Total Acquisition Cost,0,0,-51875,-72625,-124500,-32162.5,-34237.5,-79887.5,-79887.5,-226175,0,0,0,0,0,83881.875,46843.125,35459.15625,37746.84375,203931,176151.9375,176151.9375,98370.5625,74464.228125,525138.665625,378394.665625,26422.790625
PD_CATXOL_2,CAT XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_OTHXOL_2,Other XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_RIEXP_2,Total XOL RI Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_GPAID_2,Gross Paid Losses,0,0,8228.34807735451,90727.8841444826,98956.2322218371,178468.560451333,199726.689676032,218584.805101867,295068.973708004,891849.028937236,352423.067539154,352290.497580963,329863.411320977,323051.481892541,1357628.45833364,384429.00121335,430447.173484336,419390.056677814,387313.046290632,1621579.27766613,373411.044754828,432454.898934687,476405.262962657,461229.711522304,1743500.91817448,5713513.91533332,2409603.74716668
PD_GCRSV_2,Change in Gross Case Reserve,0,0,74983.5461875018,218120.603369215,293104.149556717,108341.138507796,41096.244606349,110682.023699811,185548.365147324,445667.77196128,62065.8054114152,-1875.01285783248,-29381.9030722203,61748.5205538059,92557.4100351683,151900.04084812,30684.159710892,-29985.816434023,-53806.6918875282,98791.6922374605,45892.1397971325,143762.51401994,19077.8554680403,-42517.6696554283,166214.839629685,0,-2192671.72684062
PD_GCINC_2,Gross Case Incurred,0,0,83211.8942648563,308848.487513697,392060.381778554,286809.698959129,240822.934282381,329266.828801678,480617.338855328,1337516.80089852,414488.872950569,350415.484723131,300481.508248757,384800.002446347,1450185.8683688,536329.04206147,461131.333195228,389404.240243791,333506.354403104,1720370.96990359,419303.184551961,576217.412954627,495483.118430697,418712.041866876,1909715.75780416,6809849.77875363,1313267.88374637
PD_GIBNR_2,Change in Gross IBNR,0,0,331788.105735144,272151.512486303,603939.618221446,-29509.6989591292,33077.065717619,309833.171198322,158482.661144672,471883.199101483,-57588.8729505695,-80250.4847231307,-12886.5082487571,286254.997553654,135529.131631196,134725.95793853,-86386.3331952277,-105730.990243791,-31531.6044031037,-88922.969903592,285304.565448039,128390.337045373,-102000.868430697,-120855.129366876,190838.90469584,0,-2626535.76749275
PD_GULT_2,Gross Ultimate Loss,0,0,415000,581000,996000,257300,273900,639100,639100,1809400,356900,270165,287595,671055,1585715,671055,374745,283673.25,301974.75,1631448,704607.75,704607.75,393482.25,297856.912500001,2100554.6625,8123117.6625,0
PD_CULT_2,Ceded Ultimate Loss,0,0,-415000,-581000,-996000,-257300,-273900,-639100,-639100,-1809400,-321210,-243148.5,-258835.5,-603949.5,-1427143.5,-536844,-299796,-226938.6,-241579.8,-1305158.4,-493225.425,-493225.425,-275437.575,-208499.83875,-1470388.26375,-7008090.16375,0
PD_NULT_2,Net Ultimate Loss,0,0,0,0,0,0,0,0,0,0,35689.9999999999,27016.5,28759.5,67105.5,158571.5,134211,74949,56734.65,60394.95,326289.6,211382.325,211382.325,118044.675,89357.0737500002,630166.39875,1115027.49875,0
PD_GUWRES_2,Gross UW Result,0,0,103750,145250,249000,64324.9999999999,68475.0000000002,159775,159775,452350,89225.0000000004,67541.25,71898.75,167763.75,396428.75,167763.75,93686.25,70918.3125,75493.6875,407862,176151.9375,176151.9375,98370.5625,74464.2281249994,525138.665624999,2030779.415625,132113.953125
PD_NUWRES_2,Net UW Result,0,0,51875,72625,124500,32162.5,34237.5,79887.5,79887.5,226175,53534.9999999999,40524.75,43139.25,100658.25,237857.25,117434.625,65580.375,49642.81875,52845.58125,285503.4,140921.55,140921.55,78696.45,59571.3824999999,420110.9325,1294146.5825,52845.58125
PD_GLR_2,Gross Loss Ratio,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.400000000000001,0.4,0.4,0
PD_NLR_2,Net Loss Ratio,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.400000000000001,0.4,0.4,0
PD_CR_2,Combined Ratio,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.65,0.65,0.65,0.65,0.65,0.733333333333334,0.733333333333334,0.733333333333333,0.733333333333334,0.733333333333334,0.535743617462062,0.333333333333333
PD_RETMGN_2,Retained Margin,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5.99999999999999E-02,0.06,0.06,0.06,0.06,0.07,0.07,0.07,7.00000000000001E-02,0.07,0.08,0.08,0.08,7.99999999999998E-02,0.08,6.37265954412734E-02,0.2
PD_SP_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_3,Event Cancellation,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_GEP_3,Gross Earned Premium,0,0,250000,475000,725000,525000,675000,825000,975000,3000000,975000,1050000,1350000,1650000,5025000,1950000,1950000,2100000,2700000,8700000,3300000,3900000,3900000,4200000,15300000,32750000,2400000
PD_CEP_3,Ceded Earned Premium,0,0,-250000,-475000,-725000,-525000,-675000,-825000,-975000,-3000000,-975000,-1050000,-1350000,-1650000,-5025000,-1755000,-1755000,-1890000,-2430000,-7830000,-3300000,-3900000,-3900000,-4200000,-15300000,-31880000,-2400000
PD_NEP_3,Net Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000,195000,210000,270000,869999.999999999,0,0,0,0,0,869999.999999999,0
PD_GECOMM_3,Gross Commission (Earned),0,0,75000,142500,217500,157500,202500,247500,292500,900000,292500,315000,405000,495000,1507500,585000,585000,630000,810000,2610000,990000,1170000,1170000,1260000,4590000,9825000,720000
PD_CECOMM_3,Less: Ceding Commission,0,0,-75000,-142500,-217500,-157500,-202500,-247500,-292500,-900000,-292500,-315000,-405000,-495000,-1507500,-526500,-526500,-567000,-729000,-2349000,-990000,-1170000,-1170000,-1260000,-4590000,-9564000,-720000
PD_NCOMM_3,Net Acquisition Cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58500,58500,63000,80999.9999999999,261000,0,0,0,0,0,261000,0
PD_GFFE_3,Less: Fronting Fee (Earned),0,0,-12500,-23750,-36250,-26250,-33750,-41250,-48750,-150000,-48750,-52500,-67500,-82500,-251250,-97500,-97500,-105000,-135000,-435000,-165000,-195000,-195000,-210000,-765000,-1637500,-120000
PD_NACQ_3,Total Acquisition Cost,0,0,-12500,-23750,-36250,-26250,-33750,-41250,-48750,-150000,-48750,-52500,-67500,-82500,-251250,-39000,-39000,-42000,-54000.0000000001,-174000,-165000,-195000,-195000,-210000,-765000,-1376500,-120000
PD_CATXOL_3,CAT XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_OTHXOL_3,Other XOL Earned Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_RIEXP_3,Total XOL RI Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD_GPAID_3,Gross Paid Losses,0,0,52023.8599086304,172793.664637768,224817.524546398,223135.614434568,286824.075390971,358530.704482539,432344.339691692,1300834.73399977,475658.838339833,490483.690493008,590395.506604798,723940.168934023,2280478.20437166,867660.380978185,952649.535438602,981581.680159528,1181081.06857562,3982972.66515194,1448020.02181336,1735389.18143334,1905333.08504789,1963180.49428808,7051922.78258267,14841025.9106524,1533974.08934756
PD_GCRSV_3,Change in Gross Case Reserve,0,0,64044.824315774,63553.4598213148,127598.284137089,36888.5906956544,47382.8258816373,50675.798582387,51862.1626028088,186809.377762488,13906.4534174302,29771.0213372917,78018.3993282421,94472.8374014031,216168.711484367,100752.623611527,26481.0480759284,58927.7435010709,155746.743290454,341908.15847898,188805.990857488,201436.827746084,52928.0819811728,117838.353033122,561009.253617866,0,-2866987.57096158
PD_GCINC_3,Gross Case Incurred,0,0,116068.684224404,236347.124459083,352415.808683487,260024.205130223,334206.901272608,409206.503064926,484206.502294501,1487644.11176226,489565.291757263,520254.7118303,668413.90593304,818413.006335427,2496646.91585603,968413.004589712,979130.58351453,1040509.4236606,1336827.81186608,4324880.82363092,1636826.01267085,1936826.00917943,1958261.16702906,2081018.8473212,7612932.03620054,16274519.6961332,100480.303866768
PD_GIBNR_3,Change in Gross IBNR,0,0,8931.31577559558,1152.87554091713,10084.1913165127,2475.79486977757,3293.09872739203,3293.49693507387,3293.49770549894,12355.8882377424,-2065.29175726324,4745.28816970019,6586.09406696027,6586.99366457388,15853.0841439711,6586.99541028775,-4130.58351453021,9490.5763394013,13172.1881339215,25119.1763690803,13173.9873291478,13173.9908205736,-8261.16702905856,18981.1526787989,37067.9637994617,0,-200960.607733537
