IS_HEADER,Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SUBTITLE,Management Projections,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SPACER1,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SEC_REV,Revenue,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total
IS_KR_INV,Investment Inc : Total Rev,0,1,0.319950008518004,0.223396162064629,0.26353830822093,0.168655360797095,0.129160725079266,9.49526464553119E-02,8.87340269823668E-02,0.112839829607253,7.15639836736306E-02,6.11387659527755E-02,0.159652102564786,0.13033212011872,0.115020383865932,8.48954875785422E-02,0.100079760045961,9.23683409853359E-02,7.70272904192411E-02,8.74738886619107E-02,5.03561151156772E-02,4.80504767235947E-02,5.42679604662354E-02,5.18438349552433E-02,5.11243658343942E-02,0
IS_KR_OREV,Other Rev : Total Rev,0,0,5.75828382318454E-02,4.12543239388974E-02,4.80586499089548E-02,5.11335059439537E-02,3.98677603585582E-02,2.60457713839409E-02,2.37933990462441E-02,3.25624526001832E-02,2.08272569098935E-02,1.95085096933487E-02,4.4273730304784E-03,3.24161212405821E-03,9.74669411564943E-03,2.61111428799065E-03,3.0128611555777E-03,2.23409576105575E-03,1.32938818820515E-03,2.21722346825399E-03,-2.75760172844054E-03,-2.64643613027346E-03,-3.02809629183253E-03,-2.60900713748061E-03,-2.75422947009828E-03,7.50876474501636E-02
IS_SPACER8,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SEC_KR_EXP,Key Ratios - Expense Composition,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_KR_LLAE,Net LLAE : Total Exp,0,0,2.74475109509527E-02,3.72096651520175E-02,2.65841832469487E-02,4.82144534591102E-02,5.23993389875355E-02,7.12874360348735E-02,7.89764016448641E-02,0.063054700960122,0.113431115582055,0.136476185598877,0.192286318507788,0.245744232404377,0.170676759206702,0.283627364305724,0.297246443818967,0.34145206150834,0.418140450581311,0.332599130630182,0.41507380139062,0.464665131760403,0.5442740440465,0.608335402029631,0.501066103733416,0.357178868625858
IS_KR_ACQ,Net Acq : Total Exp,0,0,7.96452538678981E-02,0.100902938939486,7.41096806554088E-02,0.107974930329983,5.65884975592289E-02,2.02245479510323E-02,-0.161869146380487,5.32091370455346E-03,-9.27448537099711E-02,-0.210908083859242,-0.293381596835386,-0.292943361805571,-0.218857147692435,1.31333889388403E-02,-0.245413326633672,-0.331061073140515,-0.283238448130794,-0.193466757126105,0.122348304084374,7.26059665132115E-02,-0.11457140922281,-0.170639952788579,-1.01760845621387E-02,-7.93616777459798E-02
IS_KR_STAFF,Staffing : Total Exp,0,0,0.618216343352826,0.610897673420832,0.501379367998662,0.573370644490919,0.656045364594639,0.682732972450987,0.828330443836297,0.685953677761532,0.802849047495078,0.896248714943728,0.918490255017144,0.873532213196238,0.870540502014019,0.594817967338393,0.812391224903512,0.847898921283594,0.741217642831493,0.735207906675529,0.392824430648021,0.397111107098133,0.489425703074469,0.482566318734596,0.435762196404454,0.593811083584448
IS_KR_OEXP,Other Exp : Total Exp,1,1,0.274690891828324,0.250989722487665,0.39792676809898,0.270439971719988,0.234966798858597,0.225755043563107,0.254562300899326,0.245670707573793,0.173305260745642,0.174656200273948,0.178990513743739,0.170229328789973,0.17421407225588,0.104367305529409,0.130238816401448,0.135931246609853,0.118828595803347,0.120648920182009,6.24874780564657E-02,5.82725191101643E-02,7.18188641053667E-02,7.08123105290891E-02,6.52875883336897E-02,0.122711187870228
IS_SPACER9,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SEC_KR_PROF,Key Ratios - Profitability,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_KR_DEBT,Interest : Operating Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS_KR_TAX,Tax : Pre-Tax Inc,0,0,0,0,0,0,0,0.21,0.21,-0.381276928500552,0,0.21,0.21,0.21,0.234921314435403,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.220914825308195
IS_SPACER10,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_SEC_GROWTH,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,
IS_GR_REV,Total Revenue Growth,0,0,-4560.27671875,0.401274603008385,0.713479474200565,0.302869750075006,0.279186494334852,0.358017109891163,8.94217122107938E-02,2.12224603298358,0.282990536602941,0.121717074689596,0.444788222940532,0.271988283171033,1.81541119227539,0.5854496878941,-0.147609546251253,0.111188114524686,0.293887561763533,2.28437052984454,0.679977278471855,0.101228881189238,-4.66663967262344E-02,0.129365453625172,2.65766781239606,5.40693083331922
IS_GR_EXP,Total Expense Growth,0,20,1.20680952380952,0.10646699609434,1.3328197827486,0.183355110478382,4.01523429066776E-02,0.102564671323752,-9.73577606709135E-02,3.07867391986143,0.889592557037716,-0.104211772794023,-2.42153250422897E-02,5.14669535269975E-02,3.01374645372753,1.03509199236012,-0.267818325574553,-4.18772750958672E-02,0.143927063101969,3.03269679828738,1.31753774341154,-1.07946526135631E-02,-0.188618201693199,0.01421438685953,3.42962994694199,7.98814839331885
IS_GR_NI,Net Income Growth,0,20.005,0.12100054302547,-0.178947569532346,2.35615790543468,-1.41193397233793E-02,-0.481794668056204,-1.21674019267938,4.88598170380556,-2.12662501931471,-2.39990880622145,-1.31482853254386,7.53849606157533,0.653159749272487,0.450721885616186,9.11187972325759E-02,9.88801560058176E-02,0.320314156807937,0.44256732269562,1.69603075069511,0.178722412840102,0.274394538348695,0.123657651138781,0.229134142303697,2.10577748687122,3.49854588088881
