,Loss Development Triangles,,,,,,,,,,,,,,,,,,,,,,% of Ultimate,,,,,,,,,,,,,,,,,,,,
,Cumulative Dollar Amounts (left) | Ult + % of Ultimate (right),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Programs -- Gross Paid ($),,,,,,,,,,,,,,,,,,,,,,All Programs -- Gross Paid (%),,,,,,,,,,,,,,,,,,,,
,Exp Qtr,DQ1,DQ2,DQ3,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQ19,DQ20,,Ult,DQ1,DQ2,DQ3,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQ19,DQ20
,Q1Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Q2Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Q3Y1,239721.399499167,532688.391600261,669646.018955577,753716.23174683,812546.114139364,857132.09215183,892647.739342346,921860.028162824,946413.234164355,967370.820725638,985467.318334307,1001235.92457791,1015078.39807622,1027306.11055681,1038165.59989613,1047855.49349573,1056538.06419398,1064347.37885429,1071395.28981251,1077775.90625571,,1156750,0.207236999783157,0.460504336805931,0.578902977268707,0.651580922193067,0.702438827870641,0.74098300596657,0.771685964419577,0.796939726097103,0.818165752465403,0.836283398077059,0.851927657950557,0.865559476618032,0.87752617080287,0.888096918570831,0.897484849704885,0.905861675812175,0.913367680306008,0.920118762787367,0.926211618597376,0.931727604284162
,Q4Y1,547605.990692228,985817.209301583,1191032.05969264,1318928.93565358,1411161.06428486,1483531.72221576,1543158.74958764,1593729.03914174,1637400.41089334,1675571.5430976,1709224.19220522,1739089.04712536,1765733.10252202,1789609.48914064,1811087.90468331,1830474.9208077,1848027.79681366,1863964.39513153,1878470.66321959,1891706.35567185,,2064875,0.265200552426771,0.477422221345884,0.576805888827479,0.638745171331715,0.68341234422658,0.718460789256378,0.747337611035845,0.771828337861489,0.792977982150656,0.811463910937755,0.82776157985603,0.842224854834004,0.855128326180531,0.866691440954363,0.877093240357559,0.886482194228563,0.894982890883789,0.90270083909754,0.909726091516239,0.916136015822675
,Q1Y2,815494.609253946,1527388.25824973,1787528.66051545,1927638.9102943,2022851.88607396,2097354.2491072,2160221.92703634,2215310.53338488,2264490.72681404,2308816.6533636,2348977.85568793,2385483.9044583,2418743.85118408,2449102.49595114,2476858.04446605,2502272.39992059,2525577.26128794,2546978.32015248,2566658.65203273,2584781.4897457,,2837375,0.28741164254071,0.538310324948142,0.629993800789619,0.679374037726524,0.712930749750724,0.739188245863589,0.761345231785133,0.780760573905416,0.798093564232448,0.813715724345073,0.827870075576168,0.84073621021483,0.852458293734201,0.863157846936388,0.872939968973452,0.881896964596004,0.890110493427179,0.897653049086738,0.904589154423624,0.910976338956149
,Q2Y2,1494351.99970432,2638542.77729857,3057287.66828279,3279215.80917752,3427162.44327997,3541187.4164819,3636473.4260082,3719503.37520859,3793410.09942157,3859931.51077857,3920177.18071335,3974946.4728967,4024867.72279493,4070462.69144884,4112178.23072516,4150404.45889394,4185485.30643963,4217725.55183853,4247396.26994773,4274739.1519237,,4658550,0.320776207125463,0.566387132755593,0.65627452067334,0.703913408502112,0.735671495053175,0.760147989499287,0.780601995472454,0.79842512696195,0.814289875480906,0.82856929962726,0.84150157897057,0.85325830417119,0.863974353134544,0.873761726599229,0.882716345370375,0.890921951872136,0.89845237390167,0.905373034922568,0.911742123610936,0.917611521165104
