"LOB","CurveType","Distribution","P1InterpMethod","P1_TL1","P1_TL25","P1_TL50","P1_TL75","P1_TL100","P2_TL1","P2_TL25","P2_TL50","P2_TL75","P2_TL100","P3","MaxAge_TL1","MaxAge_TL25","MaxAge_TL50","MaxAge_TL75","MaxAge_TL100","Description"
"Property","Paid","Weibull","Log","1.53","3.13","5.20","13.04","24.45","0.80","0.80","0.80","0.80","0.80","0","240","240","240","240","240","Property paid loss development"
"Property","Case Incurred","Weibull","Log","0.05","2.01","3.10","5.44","8.65","0.80","0.80","0.80","0.80","0.80","0","240","240","240","240","240","Property case incurred development"
"Property","Reported Count","Weibull","Log","0.05","1.09","2.22","4.16","6.68","0.80","0.80","0.80","0.80","0.80","0","240","240","240","240","240","Property reported count development"
"Property","Closed Count","Weibull","Log","1.09","2.36","3.77","7.51","13.66","0.80","0.80","0.80","0.80","0.80","0","240","240","240","240","240","Property closed count development"
"Casualty","Paid","Lognormal","Lin","2.08","2.86","3.68","4.00","4.29","0.90","1.28","0.90","0.90","0.73","0","240","240","240","240","240","Casualty paid loss development"
"Casualty","Case Incurred","Lognormal","Lin","0.79","2.10","3.21","3.43","3.64","1.52","1.66","1.10","1.06","1.01","0","240","240","240","240","240","Casualty case incurred development"
"Casualty","Reported Count","Lognormal","Lin","0.81","1.89","3.10","3.35","3.57","1.12","1.61","1.09","1.06","1.01","0","240","240","240","240","240","Casualty reported count development"
"Casualty","Closed Count","Lognormal","Lin","1.74","2.63","3.53","3.82","4.09","1.14","1.41","0.94","0.93","0.87","0","240","240","240","240","240","Casualty closed count development"
