,Curve Reference,,,,,,,,,,
,Development Patterns -- Cumulative % of Ultimate by Trend Level,,,,,,,,,,
,,,,,,,,,,,
,PROPERTY -- Paid Loss Development,,,,,,,,,,
,Dev Age (months),TL=10,TL=20,TL=30,TL=40,TL=50,TL=60,TL=70,TL=80,TL=90,TL=100
,1,0.436791027355112,0.363801435549876,0.309318261846602,0.269911477381162,0.234650065285112,0.180666731340311,0.137981869180754,0.109449173118509,9.04762786916253E-02,7.47345831708844E-02
,3,0.749067859183569,0.663482963892878,0.58984760887245,0.531210843598236,0.474819122855932,0.381138235461525,0.300626980727406,0.243575081311109,0.204186610820714,0.170622883821616
,6,0.909932774797781,0.849868628889113,0.788115818619868,0.73261400605917,0.674141151947088,0.566345896997158,0.463435287033456,0.384941472250048,0.328117523469261,0.278035533108757
,9,0.96419063335665,0.927401656004648,0.883080973373105,0.83869789619475,0.787948671079947,0.685144958324339,0.57730889448861,0.48945554348408,0.423092553807872,0.362804410332154
,12,0.984871528605823,0.96317408762823,0.932908206780986,0.899401740683467,0.858050082490197,0.766530572268161,0.661745624265472,0.570984915221753,0.499656761060781,0.433002353974536
,18,0.996963579460997,0.989606586186287,0.976171656277898,0.958272615222747,0.932816030191439,0.866291272212292,0.776712097576661,0.689804998883473,0.616301352814238,0.543915444388166
,24,0.999322609489828,0.996811926904032,0.990940321835497,0.981659585925383,0.966597302464689,0.920562735311785,0.848518788195006,0.770883797218674,0.700590907018387,0.627907104251199
,30,0.999837274234383,0.998963387895384,0.996387152637844,0.991605231329238,0.982810292834311,0.951577851985517,0.895248038653816,0.828227816557553,0.763510146584308,0.693430718354196
,36,0.99995864409745,0.999647649006078,0.998505980436048,0.996037094302027,0.99091863972635,0.969900815827454,0.92649966920826,0.869751445321043,0.81147951472421,0.745534505932144
,42,0.999989004340028,0.999875898659248,0.999363938530222,0.998082389933723,0.995100357793702,0.980994956167997,0.947822680609003,0.900337779156639,0.848611675043069,0.787537257539902
,48,0.999996964918197,0.999954981578929,0.999722587042539,0.999052847986886,0.997309987423522,0.987842955843908,0.962599710562843,0.923167129080964,0.877692378271473,0.821751841235839
,54,0.999999135108103,0.999983254111845,0.999876497041269,0.999523937263945,0.99850103295471,0.992136953463517,0.972970358856476,0.940388898145731,0.900681364505143,0.84985462861273
,60,0.999999746625831,0.999993633714138,0.999944028208204,0.99975706547052,0.999153896031992,0.994865232691051,0.980325622535492,0.953495688203532,0.918995675829366,0.8730955061167
,72,0.999999976668186,0.999999027398009,0.999987969919345,0.999934249517798,0.999721430525463,0.997756166856538,0.98938581735174,0.971302388866245,0.945524604486615,0.908585106495777
,84,0.999999997675846,0.999999841922588,0.999997280001645,0.999981421500082,0.999904864974666,0.998992391677999,0.99415746979165,0.982019804482813,0.962934335873202,0.933581709140529
,96,0.999999999752884,0.999999972953387,0.9999993586075,0.999994559484676,0.99996650837791,0.999537202160044,0.996730578354018,0.988597130467857,0.974552860060036,0.951446433625001
,108,0.999999999972226,0.999999995165616,0.999999843247421,0.999998357616874,0.999987900950451,0.999783333401821,0.99814524381955,0.992698265586152,0.982412972506619,0.964365579130852
,120,0.999999999996725,0.999999999102488,0.999999960483089,0.99999949094832,0.999995530207983,0.999896885653575,0.99893579607135,0.995289731607675,0.987791412136135,0.973800491537088
,144,0.999999999999948,0.999999999965929,0.999999997282125,0.999999947706512,0.999999354427594,0.999975689113346,0.999640851196944,0.998015316445429,0.994097481752252,0.985903065422393
,180,1,0.999999999999694,0.999999999942564,0.999999998036588,0.999999960624091,0.999997049628954,0.999928811488256,0.999470942199006,0.998114434370498,0.994820531301664
,240,1,1,1,1,1,1,1,1,1,1
,Max Age (months),240,240,240,240,240,240,240,240,240,240
,,,,,,,,,,,
,PROPERTY -- Case Incurred Development,,,,,,,,,,
,Dev Age (months),TL=10,TL=20,TL=30,TL=40,TL=50,TL=60,TL=70,TL=80,TL=90,TL=100
,1,0.973406063289961,0.653128387890853,0.413597274871867,0.37164346758887,0.332684719088865,0.286714824812397,0.24589765039031,0.212973783886739,0.186543029445102,0.163046398265819
,3,0.999839112372698,0.921905031560706,0.723456257045404,0.673385823230874,0.622471496868401,0.556774426420484,0.493214000868911,0.43828163706026,0.391773229026688,0.348600316192236
,6,0.999999751588151,0.988198295091219,0.893327029973953,0.857476707774554,0.816588430871294,0.757485304818492,0.693754445752303,0.633658103867673,0.579238255860235,0.525878445732904
,9,0.999999999268096,0.997846288623693,0.954747571470483,0.932440384907031,0.904236516524483,0.85907334427385,0.805396191717999,0.750664246398727,0.698017857824962,0.643792617171352
,12,0.999999999996835,0.999560396810915,0.9796883877009,0.966362036661163,0.947814308391994,0.91512754927248,0.872592340699034,0.825946626481944,0.778481983373213,0.727296326271515
,18,1,0.99997725898967,0.995436095143618,0.990830049162587,0.983166824166532,0.967015416260536,0.942145041315892,0.910928061132999,0.875664626238461,0.83424412698685
,24,1,0.999998570350961,0.998868611225599,0.997276912988655,0.994150383786917,0.986358109193546,0.972327083033546,0.952362240586205,0.927507883417523,0.895893017939967
