"TabName","Address","RowID","Note"
"RBC Capital Model","$C$5:$C$7","RBC_MODEL_INPUTS","Target RBC, Catastrophe loss, Discount deduction"
"RBC Capital Model","$C$12:$E$26","RBC_LOB_R4_INPUTS","R4 decomposition (IndRBC, DevRatio, InvAdj) for 15 LOBs"
"RBC Capital Model","$G$12:$I$26","RBC_LOB_R5_INPUTS","R5 decomposition (IndLLAE, Ratio, InvAdj) for 15 LOBs"
"RBC Capital Model","$C$31:$C$40","RBC_PROGRAM_LOB_MAP","Program-to-LOB assignments (VLOOKUP keys)"
"RBC Capital Model","$F$31:$H$40","RBC_PROGRAM_COMPANY_INPUTS","Per-program LS discount + Company Dev/LLAE overrides (formula cells skipped)"
"RBC Capital Model","$C$44:$C$61","RBC_NAIC_CHARGES","NAIC Risk Charge Factors (incl Class 03-06, UWExp, growth inputs, blending caps)"
"RBC Capital Model","$C$103:$C$108","RBC_CORP_SUB_ALLOC","Corp bond portfolio breakdown by NAIC Class 01-06"
