"EntityName","CalPeriod","CalQuarter","CalYear","G_WP","G_EP","G_WComm","G_EComm","G_WFrontFee","G_EFrontFee","G_Paid","G_CaseRsv","G_CaseInc","G_IBNR","G_Unpaid","G_Ult","G_ClsCt","G_OpenCt","G_RptCt","G_UltCt","C_WP","C_EP","C_WComm","C_EComm","C_WFrontFee","C_EFrontFee","C_Paid","C_CaseRsv","C_CaseInc","C_IBNR","C_Unpaid","C_Ult","C_ClsCt","C_OpenCt","C_RptCt","C_UltCt","N_WP","N_EP","N_WComm","N_EComm","N_WFrontFee","N_EFrontFee","N_Paid","N_CaseRsv","N_CaseInc","N_IBNR","N_Unpaid","N_Ult","N_ClsCt","N_OpenCt","N_RptCt","N_UltCt","G_IBNRCt","G_UnclosedCt","C_IBNRCt","C_UnclosedCt","N_IBNRCt","N_UnclosedCt","CQ_WP","CQ_EP","XC_WP","XC_EP","XO_WP","XO_EP"
"Credit and Surety",156.000000,4.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7034.403561,-2612.922551,4421.481010,-4421.481010,-7034.403561,0.000000,0.604492,-0.260644,0.343849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6330.963205,-2351.630296,3979.332909,-3979.332909,-6330.963205,0.000000,0.604492,-0.260644,0.343849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,703.440356,-261.292255,442.148101,-442.148101,-703.440356,0.000000,0.000000,0.000000,0.000000,0.000000,-0.343849,-0.604492,-0.343849,-0.604492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",157.000000,1.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6896.118676,-2555.137415,4340.981260,-4340.981260,-6896.118676,0.000000,0.592956,-0.255809,0.337146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6206.506808,-2299.623674,3906.883134,-3906.883134,-6206.506808,0.000000,0.592956,-0.255809,0.337146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,689.611868,-255.513742,434.098126,-434.098126,-689.611868,0.000000,0.000000,0.000000,0.000000,0.000000,-0.337146,-0.592956,-0.337146,-0.592956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",158.000000,1.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6761.404133,-2498.877741,4262.526392,-4262.526392,-6761.404133,0.000000,0.581715,-0.251092,0.330623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6085.263719,-2248.989967,3836.273753,-3836.273753,-6085.263719,0.000000,0.581715,-0.251092,0.330623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,676.140413,-249.887774,426.252639,-426.252639,-676.140413,0.000000,0.000000,0.000000,0.000000,0.000000,-0.330623,-0.581715,-0.330623,-0.581715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",159.000000,1.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6630.144561,-2444.095557,4186.049004,-4186.049004,-6630.144561,0.000000,0.570760,-0.246488,0.324273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5967.130105,-2199.686001,3767.444104,-3767.444104,-5967.130105,0.000000,0.570760,-0.246488,0.324273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,663.014456,-244.409556,418.604900,-418.604900,-663.014456,0.000000,0.000000,0.000000,0.000000,0.000000,-0.324273,-0.570760,-0.324273,-0.570760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",160.000000,2.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6502.229091,-2390.744652,4111.484439,-4111.484439,-6502.229091,0.000000,0.560083,-0.241994,0.318089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5852.006182,-2151.670187,3700.335995,-3700.335995,-5852.006182,0.000000,0.560083,-0.241994,0.318089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,650.222909,-239.074465,411.148444,-411.148444,-650.222909,0.000000,0.000000,0.000000,0.000000,0.000000,-0.318089,-0.560083,-0.318089,-0.560083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",161.000000,2.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6377.551148,-2338.780496,4038.770653,-4038.770653,-6377.551148,0.000000,0.549674,-0.237606,0.312067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5739.796034,-2104.902446,3634.893587,-3634.893587,-5739.796034,0.000000,0.549674,-0.237606,0.312067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,637.755115,-233.878050,403.877065,-403.877065,-637.755115,0.000000,0.000000,0.000000,0.000000,0.000000,-0.312067,-0.549674,-0.312067,-0.549674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",162.000000,2.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6256.008258,-2288.160172,3967.848086,-3967.848086,-6256.008258,0.000000,0.539524,-0.233323,0.306201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5630.407432,-2059.344155,3571.063278,-3571.063278,-5630.407432,0.000000,0.539524,-0.233323,0.306201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,625.600826,-228.816017,396.784809,-396.784809,-625.600826,0.000000,0.000000,0.000000,0.000000,0.000000,-0.306201,-0.539524,-0.306201,-0.539524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",163.000000,3.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6137.501860,-2238.842312,3898.659548,-3898.659548,-6137.501860,0.000000,0.529626,-0.229140,0.300486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5523.751674,-2014.958081,3508.793593,-3508.793593,-5523.751674,0.000000,0.529626,-0.229140,0.300486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,613.750186,-223.884231,389.865955,-389.865955,-613.750186,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300486,-0.529626,-0.300486,-0.529626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",164.000000,3.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6021.937133,-2190.787032,3831.150102,-3831.150102,-6021.937133,0.000000,0.519971,-0.225055,0.294917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5419.743420,-1971.708329,3448.035092,-3448.035092,-5419.743420,0.000000,0.519971,-0.225055,0.294917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,602.193713,-219.078703,383.115010,-383.115010,-602.193713,0.000000,0.000000,0.000000,0.000000,0.000000,-0.294917,-0.519971,-0.294917,-0.519971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"Credit and Surety",165.000000,3.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5909.222830,-2143.955870,3765.266960,-3765.266960,-5909.222830,0.000000,0.510553,-0.221064,0.289488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5318.300547,-1929.560283,3388.740264,-3388.740264,-5318.300547,0.000000,0.510553,-0.221064,0.289488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,590.922283,-214.395587,376.526696,-376.526696,-590.922283,0.000000,0.000000,0.000000,0.000000,0.000000,-0.289488,-0.510553,-0.289488,-0.510553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
